S/N,Indoor Unit ID,Outdoor Unit ID,Room,Brand,Type,Cooling Capacity ,Refrigerant Type 
67,FCU-1-34,CU-1-34,Office,DAIKIN,Wall-Mounted,1.5,R-410a
68,FCU-1-35,CU-1-35,Office,DAIKIN,Wall-Mounted,1.5,R-410a
69,FCU-1-36,CU-1-36,Principal Office,HISENSE,Ceiling Cassette,3,R-22a
SECOND FLOOR,,,,,,,
70,FCU-2-01,​CU-2-01,Year 6B,SUMMIT,Wall-Mounted,2,R-32a
71,FCU-2-02,CU-2-02,Year 6B,SUMMIT,Wall-Mounted,2,R-32a
72,FCU-2-03,CU-2-03,Year 6B,SUMMIT,Wall-Mounted,2,R-32a
73,FCU-2-04,CU-2-04,Year 6B,SUMMIT,Wall-Mounted,2,R-32a
74,FCU-2-05,CU-2-05,Year 6A,SUMMIT,Wall-Mounted,2,R-32a
75,FCU-2-06,CU-2-06,Year 6A,SUMMIT,Wall-Mounted,2,R-32a
76,FCU-2-07,CU-2-07,Year 6A,SUMMIT,Wall-Mounted,2,R-32a
77,FCU-2-08,CU-2-08,Year 6A,SUMMIT,Wall-Mounted,2,R-32a
78,FCU-2-09,CU-2-09,Year 5B,SUMMIT,Wall-Mounted,2,R-32a
79,FCU-2-10,CU-2-10,Year 5B,SUMMIT,Wall-Mounted,2,R-32a
80,FCU-2-11,CU-2-11,Walkway,DAIKIN,Ceiling Cassette,2,R-22a
81,FCU-2-12,CU-2-12,Year 5B,SUMMIT,Wall-Mounted,2,R-32a
82,FCU-2-13,CU-2-13,Year 5B,SUMMIT,Wall-Mounted,2,R-32a
83,FCU-2-14,CU-2-14,Year 5A,SUMMIT,Wall-Mounted,2,R-32a
84,FCU-2-15,CU-2-15,Year 5A,SUMMIT,Wall-Mounted,2,R-32a
85,FCU-2-16,CU-2-16,Year 5A,SUMMIT,Wall-Mounted,2,R-32a
86,FCU-2-17,CU-2-17,Walkway,DAIKIN,Ceiling Cassette,2,R-22a
87,FCU-2-18,CU-2-18,Year 5A,SUMMIT,Wall-Mounted,2,R-32a
88,FCU-2-19,CU-2-19,Year 4C,DAIKIN,Wall-Mounted,1.5,R-410a
89,FCU-2-20,CU-2-20,Year 4C,DAIKIN,Wall-Mounted,1.5,R-410a
90,FCU-2-21,CU-2-21,Year 4C,DAIKIN,Wall-Mounted,1.5,R-410a
91,FCU-2-22,CU-2-22,Year 4B,DAIKIN,Wall-Mounted,1.5,R-410a
92,FCU-2-23,CU-2-23,Year 4B,DAIKIN,Wall-Mounted,1.5,R-410a
93,FCU-2-24,CU-2-24,Year 4B,DAIKIN,Wall-Mounted,1.5,R-410a
94,FCU-2-25,CU-2-25,Year 4A,DAIKIN,Wall-Mounted,1.5,R-410a
95,FCU-2-26,CU-2-26,Year 4A,DAIKIN,Wall-Mounted,1.5,R-410a
96,FCU-2-27,CU-2-27,Year 4B,DAIKIN,Wall-Mounted,1.5,R-410a
97,FCU-2-28,CU-2-28,Year 3A,DAIKIN,Wall-Mounted,1.5,R-410a
98,FCU-2-29,CU-2-29,Year 3A,DAIKIN,Wall-Mounted,1.5,R-410a
99,FCU-2-30,CU-2-30,Year 3A,DAIKIN,Wall-Mounted,1.5,R-410a
100,FCU-2-31,CU-2-31,Year 3B,DAIKIN,Wall-Mounted,1.5,R-410a
101,FCU-2-32,CU-2-32,Year 3B,DAIKIN,Wall-Mounted,1.5,R-410a
102,FCU-2-33,CU-2-33,Year 3B,DAIKIN,Wall-Mounted,1.5,R-410a
103,FCU-2-34,CU-2-34,Year 3C,DAIKIN,Wall-Mounted,1.5,R-410a
104,FCU-2-35,CU-2-35,Year 3C,DAIKIN,Wall-Mounted,1.5,R-410a
105,FCU-2-36,CU-2-36,Year 3C,DAIKIN,Wall-Mounted,1.5,R-410a
106,FCU-2-37,CU-2-37,Year 4D,SUMMIT,Wall-Mounted,2,R-32a
107,FCU-2-38,CU-2-38,Walkway,DAIKIN,Ceiling Cassette,2,R-22a
108,FCU-2-39,CU-2-39,Year 4D,SUMMIT,Wall-Mounted,2,R-32a
109,FCU-2-40,CU-2-40,Year 4D,SUMMIT,Wall-Mounted,2,R-32a
110,FCU-2-41,CU-2-41,Year 4E,SUMMIT,Wall-Mounted,2,R-32a
111,FCU-2-42,CU-2-42,Year 4E,SUMMIT,Wall-Mounted,2,R-32a
112,FCU-2-43,CU-2-43,Year 4E,SUMMIT,Wall-Mounted,2,R-32a
THIRD FLOOR,,,,,,,
113,FCU-3-01,​CU-3-01,A Level Room,DAIKIN,Ceiling Cassette,3,R-22a
114,FCU-3-02,CU-3-02,A Level Room,DAIKIN,Ceiling Cassette,3,R-22a
115,FCU-3-03,CU-3-03,A Level Room,DAIKIN,Ceiling Cassette,3,R-22a
116,FCU-3-04,CU-3-04,A Level Room,DAIKIN,Ceiling Cassette,3,R-22a
117,FCU-3-05,CU-3-05,A Level Room,DAIKIN,Ceiling Cassette,3,R-22a
118,FCU-3-06,CU-3-06,A Level Room,DAIKIN,Ceiling Cassette,3,R-22a
119,FCU-3-07,CU-3-07,AIS Room,SUMMIT,Wall-Mounted,2,R-32a
120,FCU-3-08,CU-3-08,AIS Room,SUMMIT,Wall-Mounted,2,R-32a
121,FCU-3-09,CU-3-09,AIS Room,SUMMIT,Wall-Mounted,2,R-32a
122,FCU-3-10,CU-3-10,Walkway,DAIKIN,Ceiling Cassette,2,R-22a
123,FCU-3-11,CU-3-11,AIS Room,SUMMIT,Wall-Mounted,2,R-32a
124,FCU-3-12,CU-3-12,Year 7C,SUMMIT,Wall-Mounted,2,R-32a
125,FCU-3-13,CU-3-13,Year 7C,SUMMIT,Wall-Mounted,2,R-32a
126,FCU-3-14,CU-3-14,Year 7C,SUMMIT,Wall-Mounted,2,R-32a
127,FCU-3-15,CU-3-15,Year 7C,SUMMIT,Wall-Mounted,2,R-32a
128,FCU-3-16,CU-3-16,Walkway,DAIKIN,Ceiling Cassette,2,R-22a
129,FCU-3-17,CU-3-17,Year 8C,DAIKIN,Wall-Mounted,1.5,R-410a
130,FCU-3-18,CU-3-18,Year 8C,DAIKIN,Wall-Mounted,1.5,R-410a
131,FCU-3-19,CU-3-19,Year 8C,DAIKIN,Wall-Mounted,1.5,R-410a
132,FCU-3-20,CU-3-20,Year 8B,DAIKIN,Wall-Mounted,1.5,R-410a
133,FCU-3-21,CU-3-21,Year 8B,DAIKIN,Wall-Mounted,1.5,R-410a
134,FCU-3-22,CU-3-22,Year 8B,DAIKIN,Wall-Mounted,1.5,R-410a
135,FCU-3-23,CU-3-23,Year 8A,DAIKIN,Wall-Mounted,1.5,R-410a
136,FCU-3-24,CU-3-24,Year 8A,DAIKIN,Wall-Mounted,1.5,R-410a
137,FCU-3-25,CU-3-25,Year 8A,DAIKIN,Wall-Mounted,1.5,R-410a
138,FCU-3-26,CU-3-26,Year 9A,DAIKIN,Wall-Mounted,1.5,R-410a
139,FCU-3-27,CU-3-27,Year 9A,DAIKIN,Wall-Mounted,1.5,R-410a
140,FCU-3-28,CU-3-28,Year 9A,DAIKIN,Wall-Mounted,1.5,R-410a
141,FCU-3-29,CU-3-29,Year 9B,DAIKIN,Wall-Mounted,1.5,R-410a
142,FCU-3-30,CU-3-30,Year 9B,DAIKIN,Wall-Mounted,1.5,R-410a
143,FCU-3-31,CU-3-31,Year 9B,DAIKIN,Wall-Mounted,1.5,R-410a
144,FCU-3-32,CU-3-32,Extra,DAIKIN,Wall-Mounted,1.5,R-410a
145,FCU-3-33,CU-3-33,Extra,DAIKIN,Wall-Mounted,1.5,R-410a
146,FCU-3-34,CU-3-34,Year 7A,SUMMIT,Wall-Mounted,2,R-32a
147,FCU-3-35,CU-3-35,Walkway,DAIKIN,Ceiling Cassette,2,R-22a
